SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,SECURITY_INNER_CODE,ACCOUNTING_STANDARDS,NOTICE_DATE,START_DATE,REPORT_DATE,FINANCIAL_DATE,STD_REPORT_DATE,CURRENCY,DATE_TYPE,DATE_TYPE_CODE,REPORT_TYPE,REPORT_DATA_TYPE,ORGTYPE,OPERATE_INCOME,OPERATE_INCOME_YOY,GROSS_PROFIT,GROSS_PROFIT_YOY,PARENT_HOLDER_NETPROFIT,PARENT_HOLDER_NETPROFIT_YOY,BASIC_EPS,DILUTED_EPS,GROSS_PROFIT_RATIO,NET_PROFIT_RATIO,ACCOUNTS_RECE_TR,INVENTORY_TR,TOTAL_ASSETS_TR,ACCOUNTS_RECE_TDAYS,INVENTORY_TDAYS,TOTAL_ASSETS_TDAYS,ROE_AVG,ROA,CURRENT_RATIO,SPEED_RATIO,OCF_LIQDEBT,DEBT_ASSET_RATIO,EQUITY_RATIO,BASIC_EPS_YOY,GROSS_PROFIT_RATIO_YOY,NET_PROFIT_RATIO_YOY,ROE_AVG_YOY,ROA_YOY,DEBT_ASSET_RATIO_YOY,CURRENT_RATIO_YOY,SPEED_RATIO_YOY,CURRENCY_ABBR
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2015-01-28 00:00:00,2011-09-25 00:00:00,2012-09-29 00:00:00,9-29,2012-12-31 00:00:00,美元,年报,001,2012/FY,2012年 年报,一般企业,156508000000,44.5814741938,68662000000,56.6981605733,41733000000,60.9945220276,6.38,6.31,43.8712398088,26.6650906024,19.204613779987,112.119974473516,1.070378032725,18.745495437932,3.210846253671,336.329772280081,42.841524445,28.5417272214,1.495848684552,1.475325618805,1.319495615173,32.8596419484,48.941713899,-77.2549019608,8.3805248544,11.352109892,2.8034621192,5.4564079963,-3.8155399643,-6.9998939564,-6.6659333258,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2012-10-31 00:00:00,2010-09-26 00:00:00,2011-09-24 00:00:00,9-24,2011-12-31 00:00:00,美元,年报,001,2011/FY,2011年 年报,一般企业,108249000000,65.9624377156,43818000000,70.6042672481,25922000000,84.9853707272,28.05,27.68,40.4788958789,23.9466415394,19.900542329258,70.532019704434,1.130219154912,18.089959260594,5.104064813521,318.522295817956,41.6732311946,27.0649529637,1.608437611727,1.580693600286,1.341759027529,34.1631506131,51.8906219409,82.0246593121,2.7969157335,11.4621918511,18.109841826,18.4770102545,-6.2321790105,-20.0296458798,-19.3759500206,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2012-10-31 00:00:00,2009-09-27 00:00:00,2010-09-25 00:00:00,9-25,2010-12-31 00:00:00,美元,年报,001,2010/FY,2010年 年报,一般企业,65225000000,52.0219088684,25684000000,49.1348275462,14013000000,70.1639344262,15.41,15.15,39.3775392871,21.4840935224,14.705219253748,52.511288180611,1.063300837925,24.481103871215,6.855668799474,338.568340360315,35.2834535635,22.8440546445,2.011292346299,1.960573303735,0.897355467619,36.4337682721,57.3162310895,67.136659436,-1.8991218723,11.9338230211,12.8342136726,20.7711214364,9.1129453812,-26.6616075534,-27.465091856,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2011-10-26 00:00:00,2008-09-28 00:00:00,2009-09-26 00:00:00,9-26,2009-12-31 00:00:00,美元,年报,001,2009/FY,2009年 年报,一般企业,42905000000,14.4407991251,17222000000,30.4993559142,8235000000,34.5808138585,9.22,9.08,40.139843841,19.1935671833,14.838319211482,53.284232365145,0.985494929542,24.261507982752,6.756220067749,365.298683137119,31.2701727739,18.915163139,2.742482183209,2.702937597775,0.882930644881,33.3908759816,50.1295828066,32.8530259366,14.0321956085,17.5986316834,-9.1330377361,0.3393917159,-28.7377982772,19.6096033109,19.7717018673,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2010-10-27 00:00:00,2007-09-30 00:00:00,2008-09-27 00:00:00,9-27,2008-12-31 00:00:00,美元,年报,001,2008/FY,2008年 年报,一般企业,37491000000,56.1734566358,13197000000,61.846946284,6119000000,75.028604119,6.94,6.78,35.2004481075,16.3212504334,18.473022912047,56.828070175439,1.155008549115,19.487877090502,6.334897505557,311.686004641128,34.4131376188,18.8511837829,2.292861197843,2.256741413568,0.680953732614,46.856363085,88.1692819781,71.7821782178,3.6328130082,12.0732087826,20.6625403119,14.7247672095,9.8167577545,-3.0891240846,-3.0885686353,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2009-10-27 00:00:00,2006-10-01 00:00:00,2007-09-29 00:00:00,9-29,2007-12-31 00:00:00,美元,年报,001,2007/FY,2007年 年报,一般企业,24006000000,24.2868237121,8154000000,45.6591639871,3496000000,75.7667169432,4.04,3.93,33.9665083729,14.5630259102,16.618899273105,51.467532467532,1.128313592781,21.66208447888,6.994700984103,319.060234941151,28.5201501061,16.4316600865,2.365948275862,2.328663793103,0.589439655172,42.6677713339,74.4219653179,71.186440678,17.1959823547,41.4202340151,24.8348048383,18.6359249229,1.6616820108,5.0644754386,5.3696244046,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2008-11-05 00:00:00,2005-09-25 00:00:00,2006-09-30 00:00:00,9-30,2006-12-31 00:00:00,美元,年报,001,2006/FY,2006年 年报,一般企业,19315000000,38.6476204149,5598000000,38.4957941613,1989000000,49.7740963855,2.36,2.27,28.9826559669,10.2976960911,17.992547741034,63.066666666667,1.345008878521,20.008283717318,5.708245243129,267.656225731286,22.8463128877,13.8504926709,2.25190128822,2.209995343784,0.344559987583,41.9703574542,72.3257211538,43.9024390244,-0.1095051273,8.0250031967,7.5565874803,2.0326579814,18.2315646874,-23.7633029901,-23.9639490501,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2007-11-15 00:00:00,2004-09-26 00:00:00,2005-09-24 00:00:00,9-24,2005-12-31 00:00:00,美元,年报,001,2005/FY,2005年 年报,一般企业,13931000000,68.2691146274,4042000000,78.9287295263,1328000000,381.1594202899,1.64,1.55,29.0144282535,9.5326968631,16.693828639904,74.353383458647,1.424000817745,21.564855358553,4.841743351198,252.808843586259,21.2412028151,13.5745681284,2.953828505879,2.906509893892,0.726985947806,35.4984369573,55.0350026925,343.2432432432,6.3348612265,185.9463671405,257.8296104651,265.554266717,-3.9131077653,10.9936126022,10.8018080056,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2005-12-01 00:00:00,2003-09-28 00:00:00,2004-09-25 00:00:00,9-25,2004-12-31 00:00:00,美元,年报,001,2004/FY,2004年 年报,一般企业,8279000000,33.3816658611,2259000000,32.2599531616,276000000,300.0,0.37,0.36,27.2859040947,3.3337359584,10.751948051948,76.687898089172,1.113891691894,33.482304626163,4.694352159468,323.191206667388,5.9361221637,3.7134207871,2.661259901924,2.623161071294,0.352319879291,36.9440993789,58.5894405043,270.0,-0.8409796746,199.8912912137,257.8019141835,252.8557013012,-2.864954758,6.5498486298,6.0331100161,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2005-12-01 00:00:00,2002-09-29 00:00:00,2003-09-27 00:00:00,9-27,2003-12-31 00:00:00,美元,年报,001,2003/FY,2003年 年报,一般企业,6207000000,8.0982236155,1708000000,6.5502183406,69000000,6.1538461538,0.1,0.09,27.5173191558,1.1116481392,9.326821938392,89.089108910891,0.946694120339,38.598356694056,4.040897977328,380.270662155468,1.6590526569,1.0523907573,2.497666525244,2.473907509546,0.122613491727,38.0337490829,61.3781671797,-44.4444444444,-1.4320358124,-1.798713611,2.2869772696,-0.2738327778,8.7319799021,-23.1415905929,-23.2315431251,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2004-12-03 00:00:00,2001-09-30 00:00:00,2002-09-28 00:00:00,9-28,2002-12-31 00:00:00,美元,年报,001,2002/FY,2002年 年报,一般企业,5742000000,7.0669401454,1603000000,29.7975708502,65000000,360.0,0.18,0.18,27.917102055,1.1320097527,11.13870029098,147.821428571429,0.932218524231,32.3197492163,2.435370862527,386.175548589285,1.6219588272,1.0552804611,3.249698431846,3.222557297949,0.053679131484,34.9793585265,53.7973137973,357.1428571429,21.2302982356,342.8387321378,360.3892701163,370.6583326948,0.2430831452,-4.0823989978,-4.6796185057,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2003-12-19 00:00:00,2000-10-01 00:00:00,2001-09-29 00:00:00,9-29,2001-12-31 00:00:00,美元,年报,001,2001/FY,2001年 年报,一般企业,5363000000,-32.8197419516,1235000000,-42.9824561404,-25000000,-103.1806615776,-0.07,-0.07,23.0281558829,-0.4661570017,7.558844256519,187.636363636364,0.836400499064,47.626328547453,1.918604651163,430.415812045628,-0.6228977202,-0.3898939488,3.388010540184,3.380764163373,0.12187088274,34.8945357914,53.5969387755,-102.8925619835,-15.1275307418,-104.7345182501,,,-11.9482466658,20.674854877,21.1534506452,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2002-12-19 00:00:00,1999-09-26 00:00:00,2000-09-30 00:00:00,9-30,2000-12-31 00:00:00,美元,年报,001,2000/FY,2000年 年报,一般企业,7983000000,,2166000000,,786000000,,2.42,2.18,27.1326568959,9.8459225855,,,,,,,,,2.807553026384,2.790481117434,0.449042938438,39.6295751874,65.6440224008,,,,,,,,,USD
